Date,QQQ,UUP,FXE,FXY,FXNAX,SEGA.MI
8/28/2012,62.431675,21.657797,124.910004,125.059998,9.378689,105.445503
9/10/2012,62.559429,21.396156,126.800003,125.459999,9.405321,105.824997
9/11/2012,62.459045,21.231421,127.809998,126.309998,9.389647,106.193497
9/18/2012,64.138519,21.066685,129.559998,124.540001,9.38181,105.920502
10/4/2012,63.479279,21.086069,129.339996,125.150002,9.446896,106.593498
10/5/2012,63.140606,21.086069,129.449997,124.769997,9.423341,106.593498
10/17/2012,62.316784,20.969782,130.339996,124.290001,9.409767,107.156998
10/18/2012,61.593697,21.056995,129.839996,123.849998,9.409767,107.143997
10/19/2012,60.119953,21.134518,129.320007,123.760002,9.425561,107.143997
10/22/2012,60.431194,21.134518,129.699997,122.790001,9.409767,107.2575
10/23/2012,59.854507,21.231421,128.910004,122.949997,9.425561,107.2575
10/25/2012,59.643986,21.250805,128.580002,122.220001,9.401861,106.984001
10/26/2012,59.817913,21.250805,128.470001,123.260002,9.425561,106.984001
10/31/2012,59.451756,21.212042,128.699997,122.940002,9.459601,107.25
11/1/2012,60.293884,21.241112,128.520004,122.419998,9.451689,107.389999
11/2/2012,59.653145,21.386467,127.419998,122,9.451689,107.389999
11/5/2012,60.046719,21.434919,127.019997,122.230003,9.467519,107.32
11/7/2012,58.737782,21.444609,126.790001,122.709999,9.467519,107.68
11/8/2012,57.81329,21.444609,126.519997,123.650002,9.483356,107.620003
11/9/2012,58.060448,21.493061,126.230003,123.489998,9.475435,107.620003
11/13/2012,57.648529,21.522131,126.150002,123.629997,9.467519,107.870003
11/14/2012,56.971184,21.512442,126.449997,122.309998,9.467519,107.760002
11/15/2012,56.778954,21.512442,126.800003,120.879997,9.467519,107.82
11/16/2012,57.026089,21.551201,126.489998,120.760002,9.467519,107.82
11/21/2012,58.518116,21.454298,127.32,118.889999,9.435852,107.650002
11/23/2012,59.405991,21.250805,128.910004,119.089996,9.435852,107.730003
11/28/2012,59.973503,21.289562,128.5,119.68,9.451689,108.650002
11/29/2012,60.330475,21.260494,128.839996,119.480003,9.451689,108.669998
12/4/2012,60.074192,21.105448,129.990005,119.879997,9.48579,108.940002
12/5/2012,59.405991,21.153898,129.809998,119.019997,9.48579,108.970001
12/6/2012,59.790443,21.270184,128.770004,119.089996,9.493726,108.980003
