"","QQQ.Adjusted","FEZ.Adjusted","AIA.Adjusted","VNQ.Adjusted","IQQP.DE.Adjusted","UUP.Adjusted","FXE.Adjusted","FXY.Adjusted","FXNAX.Adjusted","SEGA.MI.Adjusted"
"122",53.373699,22.263624,33.637283,39.976971,22.34,21.967882,126.809998,128.160004,9.136691,100.760002
"123",54.082809,22.62933,34.245434,40.255386,22.389999,21.774078,128.089996,128.210007,9.121235,100.769997
"124",54.41917,23.129385,34.697433,40.411583,22.940001,21.657795,129.160004,127.620003,9.098045,100.639999
"125",54.337341,23.106997,34.968643,40.662827,23.309999,21.677176,128.789993,127.879997,9.082584,100.800003
"126",54.35553,23.30851,35.165878,40.859756,23.469999,21.551201,129.830002,127.879997,9.074857,100.910004
"127",54.255531,23.256271,35.256275,41.172131,23.27,21.580275,129.729996,126.650002,9.082584,100.790001
"128",54.937363,23.524948,35.749371,41.701809,23.209999,21.48337,130.600006,126.639999,9.098045,100.910004
"129",54.746441,23.621973,35.593227,41.993816,23.540001,21.463987,130.479996,127.050003,9.128969,101.43
"130",54.910084,23.681683,35.815117,42.007401,23.57,21.308945,131.630005,128.330002,9.136691,101.940002
"131",54.955532,23.218945,35.248058,41.695019,23.360001,21.386467,130.710007,128.929993,9.152159,101.849998
"132",55.028263,23.345825,35.420643,41.898746,23.4,21.434919,130.270004,129.130005,9.190125,102.029999
"133",55.473728,23.853346,35.823338,42.312973,23.870001,21.338017,130.970001,129.070007,9.182377,102.580002
"134",55.646458,23.957834,35.839779,42.408058,23.860001,21.347706,130.880005,129.119995,9.190125,102.839996
"135",56.410088,24.338472,36.33287,42.998844,23.83,21.347706,130.919998,128.559998,9.159129,102.660004
"136",56.364647,24.196665,35.815117,42.863022,23.879999,21.357395,130.729996,128.5,9.174631,102.910004
"137",56.482834,24.450428,35.897301,42.754368,23.77,21.21204,131.970001,128.179993,9.151379,102.769997
"138",56.782845,24.622087,36.316429,42.829079,24.030001,21.231422,132.009995,127.790001,9.151379,102.800003
"139",57.191944,24.704182,36.258907,42.516693,24.120001,21.241112,132.279999,126.720001,9.143633,102.75
"140",56.791939,24.002613,35.57679,42.122829,23.780001,21.376776,131.179993,126.790001,9.159129,102.660004
"141",57.319218,24.189203,36.135628,42.550655,23.870001,21.347706,131.339996,126.860001,9.159129,102.779999
"142",57.464672,23.942909,35.930172,42.116039,23.67,21.454298,130.639999,125.5,9.166876,102.790001
"143",57.064674,23.816031,36.546543,41.864788,23.610001,21.522131,130.059998,125.57,9.166876,102.599998
"144",57.846504,24.196665,36.801308,42.306187,23.559999,21.444609,130.839996,124.709999,9.143633,102.660004
"145",57.664673,24.457891,37.047848,42.340137,23.75,21.444609,131.020004,123.769997,9.143633,102.870003
"146",57.82832,24.607161,36.908146,41.681435,23.549999,21.357395,131.820007,123.43,9.128139,103.059998
"147",57.564701,24.420568,37.056076,41.32832,23.290001,21.386467,131.850006,122.559998,9.151379,103.110001
"148",57.946503,24.67433,36.727337,41.844425,23.24,21.221729,133.139999,123.129997,9.151379,103.220001
"149",58.146511,24.928087,37.00676,41.898746,23.4,21.13452,134.070007,121.489998,9.151379,103.199997
"150",58.228336,24.719107,36.702686,41.83083,23.200001,21.202351,133.399994,122.169998,9.174631,103.440002
"151",58.819241,24.928087,37.113605,41.586372,23.27,21.10545,134.020004,122.25,9.174631,103.589996
"152",58.555607,24.577307,37.376579,41.416595,23.440001,21.279875,132.619995,121.029999,9.180064,103.93
"153",59.019253,24.96541,37.680656,41.66785,23.68,21.279875,132.479996,121.290001,9.1723,104.459999
"154",58.973793,24.659407,37.360153,41.606747,23.76,21.42523,131.460007,120.309998,9.195601,104.650002
